i,Ii,Ji,ni
1,-12,6,0.529944062660280e-2
2,-12,8,-0.170099690234461
3,-12,12,0.111323814312927e2
4,-12,18,-0.217898123145125e4
5,-10,4,-0.506061827980875e-3
6,-10,7,0.556495239685324
7,-10,10,-0.943672726094016e1
8,-8,5,-0.297856807561527
9,-8,12,0.939353943717186e2
10,-6,3,0.192944939465981e-1
11,-6,4,0.421740664704763
12,-6,22,-0.368914126282330e7
13,-4,2,-0.737566847600639e-2
14,-4,3,-0.354753242424366
15,-3,7,-0.199768169338727e1
16,-2,3,0.115456297059049e1
17,-2,16,0.568366875815960e4
18,-1,0,0.808169540124668e-2
19,-1,1,0.172416341519307
20,-1,2,0.104270175292927e1
21,-1,3,-0.297691372792847
22,0,0,0.560394465163593
23,0,1,0.275234661176914
24,1,0,-0.148347894866012
25,1,1,-0.651142513478515e-1
26,1,2,-0.292468715386302e1
27,2,0,0.664876096952665e-1
28,2,2,0.352335014263844e1
29,3,0,-0.146340792313332e-1
30,4,2,-0.224503486668184e1
31,5,2,0.110533464706142e1
32,8,2,-0.408757344495612e-1
